,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-1178-3p,0,1,0,4,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,0,1,2,3,0,3,0,0,1
miR-1178-5p,0,2,7,31,32,10,10,4,13,1,14,1,2,10,2,12,0,2,4,0,6,12,2,1,0,13,18,25,10,18,9
miR-1179,130,127,57,16,7,25,9,30,17,12,13,48,15,27,25,12,34,32,76,513,86,19,28,17,20,30,8,149,100,69,66
miR-1180-3p,461,126,157,3781,211,567,497,1808,609,153,422,529,635,115,714,255,631,444,505,308,928,174,532,845,242,725,206,1240,1173,615,902
miR-1180-5p,10,14,15,74,35,19,24,30,13,9,19,13,23,21,16,22,12,14,18,4,28,24,17,30,11,45,36,49,23,18,34
miR-1182,1,16,34,120,119,31,82,32,55,36,53,3,12,72,7,6,12,8,11,7,6,12,13,4,9,7,114,128,64,84,74
miR-1183,1,1,3,40,9,3,8,12,10,6,15,1,0,14,0,6,0,1,3,3,2,14,0,0,6,7,17,35,5,39,18
miR-1184,1,1,2,6,2,1,3,3,5,2,0,2,1,2,1,6,2,0,0,1,6,13,2,1,0,10,0,9,2,14,3
miR-1185-1-3p,117,40,11,1,56,22,13,1,21,51,10,22,7,42,65,0,59,12,34,60,238,63,20,41,52,31,12,135,67,7,95
miR-1185-2-3p,112,29,8,3,43,31,23,1,15,52,8,32,0,39,69,2,24,22,27,42,146,36,10,36,44,18,11,114,71,9,73
miR-1185-5p,682,72,19,11,58,60,61,2,31,103,17,173,3,125,349,2,74,103,286,83,228,86,31,303,115,40,57,273,367,39,310
miR-1193,0,4,5,22,22,4,24,8,7,5,11,1,2,15,0,9,0,3,6,0,6,12,5,0,4,7,18,34,20,9,11
miR-1197,57,1,6,7,4,6,7,0,11,5,6,17,0,10,32,0,6,15,19,16,91,15,4,13,10,9,6,18,73,7,41
miR-1199-3p,1,1,2,4,2,2,3,3,0,1,6,0,3,4,1,20,3,1,2,6,10,15,6,1,7,8,6,2,4,4,3
miR-1200,0,0,1,12,3,0,1,0,2,0,3,0,0,3,0,13,2,1,3,1,2,8,0,3,5,6,4,1,11,3,5
miR-1202,15,70,132,347,328,118,249,85,209,86,209,14,57,228,18,201,44,39,67,29,138,209,45,19,55,151,384,404,209,298,193
miR-1204,0,2,3,2,16,1,0,0,1,0,303,1,0,0,0,8,2,1,0,2,101,3,0,0,4,33,0,3,3,1,1
miR-1205,0,0,1,2,0,0,0,1,1,0,21,0,0,0,0,9,4,0,2,0,40,2,0,1,2,42,0,1,2,0,0
miR-1206,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
miR-1207-3p,1,0,4,10,6,3,0,2,0,1,6,0,1,2,0,2,4,0,3,2,10,10,3,2,2,9,2,0,4,2,0
miR-1207-5p,177,791,1356,3777,4396,1226,3912,1037,1978,2120,2567,253,571,2343,172,752,431,838,768,697,1223,1718,754,223,481,1212,5058,4964,2842,2819,1947
miR-1208,3,0,3,0,1,2,1,1,1,0,0,4,4,0,0,7,0,0,3,2,22,3,0,0,5,38,0,0,40,0,0
miR-1224-5p,24,43,148,323,246,123,222,73,176,75,149,26,40,154,9,217,26,33,65,26,68,162,214,33,30,119,353,369,389,260,145
miR-1225-3p,13,35,135,250,154,88,71,52,45,39,97,22,26,60,14,1019,28,30,161,29,589,757,83,16,34,607,131,279,405,285,150
miR-1225-5p,39,193,258,689,759,189,335,146,353,193,693,29,122,286,50,99,110,149,120,83,193,396,225,64,132,247,507,346,601,390,286
miR-122-5p,1,4,4,8,1,9,2,5,3,1,1,3,3,3,0,1,6,0,3,2,3,7,1,1,8,7,4,9,7,3,17
miR-1226-3p,79,22,41,675,33,96,59,142,352,74,122,63,133,49,58,95,91,98,69,54,134,13,150,123,28,120,25,168,266,151,144
miR-1227-3p,10,16,28,75,8,61,28,25,35,19,27,9,21,31,11,67,33,31,23,46,68,52,33,23,16,68,15,40,66,48,28
miR-1228-3p,12,25,44,100,61,64,63,45,68,39,64,17,19,42,14,107,23,29,34,15,75,95,36,11,36,94,45,126,486,91,57
miR-1229-3p,10,34,28,128,51,47,14,36,54,32,120,5,27,15,20,81,11,18,28,20,67,72,55,12,17,61,23,51,273,56,27
miR-1229-5p,9,49,96,286,272,66,211,52,139,58,110,9,36,140,13,53,18,33,41,29,38,101,22,17,28,48,268,301,132,196,148
miR-1231,5,17,25,62,53,9,13,16,16,3,23,2,2,25,1,23,8,4,12,21,11,34,5,1,7,22,39,48,52,36,23
miR-1233-3p,3,37,27,29,31,47,27,20,27,18,26,5,26,22,6,82,25,23,18,32,37,109,41,5,25,81,25,35,50,42,23
miR-1234-3p,23,79,88,256,196,151,100,65,101,83,191,28,49,78,21,105,106,52,63,62,104,135,136,38,58,111,76,128,269,124,103
miR-1236-3p,2,9,7,22,8,9,12,23,10,13,29,2,8,17,1,11,3,11,4,4,14,8,7,8,3,15,11,22,51,27,15
miR-1236-5p,4,24,37,191,152,27,103,55,91,29,182,7,23,88,7,4,18,16,18,11,21,22,8,4,17,19,208,162,115,203,69
miR-1237-3p,11,11,33,20,17,23,10,14,20,10,18,9,20,3,6,22,34,17,10,6,18,25,32,11,17,16,9,15,44,23,10
miR-1237-5p,1145,4867,8637,6401,17710,11407,3744,4144,3816,6859,5793,1023,2223,3229,867,8698,5779,2976,2221,10535,9697,13427,12487,1333,7523,7726,5501,3683,9323,3506,2985
miR-1238-3p,3,16,25,26,33,55,14,12,28,16,36,9,19,21,7,38,26,20,19,32,53,49,41,5,25,32,10,18,62,23,17
miR-1238-5p,0,5,10,52,24,2,11,3,7,7,14,0,2,4,3,32,3,2,10,2,23,20,3,0,2,16,26,25,24,18,15
miR-1243,1,1,6,14,1,1,5,5,2,5,9,0,0,15,2,4,3,5,1,3,4,6,1,0,11,9,5,3,14,24,1
miR-124-3p,55013,36341,79041,235856,288,19567,51711,404301,29366,7388,17383,38501,645349,141857,56716,37636,66086,85974,82651,34722,15255,26107,17333,75108,14626,233412,64453,91075,117292,127176,164300
miR-1244,625,2351,3956,5111,2664,7267,2897,2477,2837,4700,5874,857,925,1738,1115,1193,6126,1964,1732,2198,2792,3913,3197,1646,2417,1715,1819,1391,2834,5660,2579
miR-1245b-3p,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0
miR-124-5p,397,384,870,977,6,173,651,1990,258,234,349,322,4508,1086,364,530,874,728,578,391,273,703,264,624,221,1888,571,812,453,980,694
miR-1247-3p,5,19,35,78,59,24,30,16,35,22,56,3,10,30,0,25,8,17,15,12,21,33,22,3,4,37,61,50,58,41,16
miR-1247-5p,6,139,52,32,74,35,18,3,18,227,16,5,6,34,8,62,13,13,12,48,49,64,214,2,48,10,6,48,303,42,16
miR-1249,391,101,707,241,50,205,538,149,182,73,131,208,143,289,273,101,601,346,459,164,97,343,99,349,194,163,294,458,1796,393,570
miR-1250-3p,1,4,10,12,8,4,2,3,2,3,2,4,2,2,2,1,7,2,2,11,5,6,5,4,5,2,4,0,7,3,1
miR-1250-5p,22,3,21,288,21,5,52,137,15,5,30,34,56,93,42,41,85,13,15,2,32,9,107,46,6,28,38,129,56,75,89
miR-1251-3p,11,1,11,2,2,5,4,2,9,0,1,0,3,1,1,137,0,4,6,0,3,0,47,4,1,2,2,0,8,6,11
miR-1252-3p,2,0,1,1,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0
miR-1252-5p,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0
miR-1253,5,2,14,75,16,2,13,14,23,6,13,0,8,23,4,6,7,2,5,4,20,2,6,2,4,14,22,58,22,23,22
miR-1254,13,146,478,756,523,121,499,131,233,163,439,20,105,353,25,1903,35,122,294,25,1078,1720,189,28,110,1237,806,762,693,629,332
miR-1255b-2-3p,2,3,64,98,12,12,13,6,12,1,24,0,1,12,0,1195,9,21,178,2,628,597,36,0,37,790,54,387,438,624,163
miR-1256,0,2,2,15,10,1,5,1,4,8,8,2,2,9,0,49,2,3,10,1,24,37,6,0,4,38,4,22,21,11,6
miR-1257,0,3,7,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
miR-1258,1,0,0,36,1,1,10,18,5,0,0,1,8,64,0,4,10,9,0,0,7,6,29,6,6,12,6,2,3,5,7
miR-125a-3p,92,207,168,228,145,127,170,143,103,122,122,87,220,127,101,146,128,105,122,249,223,184,203,157,193,92,56,111,180,136,65
miR-125a-5p,29390,32602,29593,45750,20058,23036,27309,34193,23460,14683,11685,33263,43148,25509,28883,21556,20962,27420,41545,38867,28688,27707,33141,31694,29529,14529,11813,22611,47882,28258,25426
miR-125b-1-3p,252,50,42,42,18,72,346,23,82,176,33,693,9,347,477,574,46,178,610,90,78,63,465,84,155,11,194,204,442,97,272
miR-125b-2-3p,530,88,250,151,11,281,545,142,781,102,489,416,234,308,559,124,493,493,710,88,102,166,164,523,93,48,405,725,206,221,614
miR-125b-5p,333485,47481,113843,78497,6274,118812,277991,69509,227017,60808,107626,392647,88695,217717,414159,153648,215053,279781,546801,65830,46920,78780,163124,267614,83823,32176,178977,251697,180684,116810,348793
miR-1261,0,0,2,7,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,1,1,3,1,0,2,0
miR-1262,0,4,4,2,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,1,2,5,0,3,9,21,0,1
miR-1263,0,0,1,6,1,0,0,105,167,0,319,0,2,1,0,6,0,0,1,0,222,2,1,1,0,2,2,5,5,80,0
miR-126-3p,4120,15194,9804,13784,23118,9257,11036,9352,19688,35055,12676,4695,13539,27281,3804,9692,12790,19234,7928,10232,21255,8686,4765,5262,10649,18594,17903,29333,36686,11855,6272
miR-1264,232,1,2,222,0,0,13,11,243,0,0,78,0,15,100,1,2,85,60,0,24,3,0,39,0,2,36,139,23,19,114
miR-1265,2,0,1,7,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,3,0,0,1,4,0,1,1,1,0
miR-126-5p,804,2978,2299,2846,4026,1543,1698,1334,3030,5653,2304,1061,2174,4092,528,1430,1765,2878,1326,2446,3728,1356,669,784,1705,3232,3036,4287,5977,1573,823
miR-1267,7,14,27,95,3,1,43,8,15,1,21,10,38,21,12,9,10,44,14,0,14,56,0,14,44,28,20,52,33,34,30
miR-1269a,1,3,4,2658,4,0,2,17,4,1,12,0,1712,0,1,190,0,3,0,0,8,3,4,0,4,660,12,13,33,6,3
miR-1269b,0,3,7,2690,12,1,4,1,1,0,2,1,1495,3,1,247,0,1,9,1,15,36,3,1,7,601,13,23,40,26,14
miR-1270,21,2,59,18,42,1,31,4,11,41,34,15,0,15,31,2,12,18,10,63,6,65,33,1,16,27,38,41,66,43,14
