,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma,Medulloblastoma
miR-298,0,8,7,16,22,5,5,1,7,7,6,0,1,13,2,3,0,1,5,1,2,5,2,1,6,4,23,19,10,10,7
miR-299-3p,349,104,27,5,128,54,70,4,18,153,23,75,2,128,230,6,37,95,193,139,265,120,12,224,135,50,17,135,212,15,118
miR-299-5p,1359,257,78,27,376,163,276,11,87,459,50,364,20,424,899,8,195,392,778,439,1033,435,65,875,423,85,90,422,750,62,316
miR-29a-3p,4672,10159,11064,12965,75885,7655,2695,16477,7444,10054,4368,5459,4584,6503,1633,1162,3760,4786,4434,7061,3556,6497,1356,3700,6960,10641,4000,7052,81303,6295,7881
miR-29a-5p,35,65,60,61,454,36,8,29,48,52,33,60,23,50,8,8,15,23,23,83,32,23,5,26,53,51,24,34,255,54,35
miR-29b-1-5p,12,48,33,32,189,34,10,31,28,35,16,24,16,22,7,4,16,21,16,47,31,43,4,14,44,51,17,24,160,56,18
miR-29b-2-5p,166,54,64,348,27,75,116,391,231,62,191,123,202,83,93,93,137,115,108,34,24,49,98,148,121,91,72,305,844,318,232
miR-29b-3p,3242,4945,4697,6001,27516,3380,2315,6957,5017,7684,3834,2384,4462,2920,1141,1101,2830,3405,3685,1740,1959,2487,1117,1683,4020,3925,2221,4258,106467,3256,4433
miR-29c-3p,8645,4875,5559,11295,1621,4123,4939,16411,8981,3587,6830,5834,8810,4311,4524,4776,9230,6950,8088,2163,1993,4701,5082,4361,6351,5603,3178,9610,45040,7280,8289
miR-29c-5p,338,168,152,619,32,140,255,970,507,106,226,319,292,267,225,205,361,305,346,63,90,144,218,269,284,207,190,466,1795,541,317
miR-300,12,0,1,3,1,0,2,0,0,2,0,2,2,2,4,1,2,2,8,4,6,1,1,3,3,1,0,5,9,1,1
miR-301a-3p,7118,3935,2356,39203,1057,7668,6653,7557,17414,1982,9468,6394,9847,5754,8986,4882,8570,8066,7856,3150,20638,1683,5318,2635,2456,11488,1929,13150,7110,7855,6748
miR-301a-5p,93,54,18,532,11,65,109,84,202,35,103,127,147,74,120,70,102,130,106,49,270,39,64,32,31,115,30,193,65,130,108
miR-301b,408,890,1614,7474,121,2838,656,476,1860,666,2091,466,1074,837,459,1073,2556,1211,491,1035,3333,809,1430,553,465,2287,267,1216,1845,1535,976
miR-302a-3p,3,0,3,5,0,3,1,2,0,2,3,0,1,3,2,0,1,3,2,0,15,0,0,4,2,2,0,0,12,0,0
miR-302a-5p,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,2,0,1,1,2,1,1,1,6,1,0
miR-302b-3p,1,0,3,3,0,1,1,0,0,2,0,2,1,5,2,6,0,6,2,2,18,0,0,3,3,1,1,2,14,0,4
miR-302b-5p,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,4,0,0,1,0,0,0
miR-302c-3p,1,3,1,2,2,0,0,0,0,0,2,1,0,0,0,2,1,0,1,0,4,0,1,3,2,0,0,1,6,1,0
miR-302c-5p,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,1,0,1,2,1,0,2,0,1,0
miR-302d-3p,0,1,2,2,2,4,2,1,0,1,0,4,0,16,0,2,6,5,7,0,33,1,2,8,6,5,0,1,22,2,3
miR-302d-5p,0,0,2,1,2,1,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,7,0,2,1,0,0,1,0,0,0
miR-302e,0,0,8,3,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
miR-302f,2,0,2,3,1,0,0,1,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0
miR-3064-3p,5,8,12,81,48,23,43,54,94,16,49,2,18,37,6,5,11,22,22,2,19,10,6,10,8,25,47,109,61,54,56
miR-3064-5p,8,33,55,291,218,49,261,178,263,70,320,9,30,169,11,14,9,55,24,6,50,35,12,13,14,42,252,500,380,279,209
miR-30a-3p,234,751,186,306,194,1356,409,273,640,620,119,411,174,552,459,177,194,433,656,475,213,179,58,372,806,206,373,724,2851,447,403
miR-30a-5p,7658,17471,13377,16044,7028,20513,7142,9218,13219,10758,6985,10646,11573,9497,7754,8542,6411,8269,11875,12375,53112,10281,6978,9167,14050,9761,5682,10771,30804,9086,6809
miR-30b-3p,50,112,127,110,88,71,62,199,106,60,103,67,210,47,34,60,78,31,61,74,785,73,62,53,63,89,57,59,75,103,68
miR-30b-5p,30151,42161,45186,59082,22775,32263,14610,63334,42332,15203,24570,23827,92116,18996,18668,29498,25502,15108,28669,31888,352071,32368,29272,26164,28142,48490,11228,20366,40572,39296,20660
miR-30c-1-3p,46,111,85,84,54,78,58,47,56,64,39,64,41,63,56,77,36,76,62,60,53,84,62,80,93,47,35,56,115,67,48
miR-30c-2-3p,48,82,34,70,29,136,41,32,66,80,17,71,16,54,47,36,29,44,54,49,20,45,18,38,82,22,59,86,259,34,23
miR-30c-5p,27973,47564,40064,50012,22153,49862,20653,28061,32422,24140,14256,30487,23633,30228,26862,42803,22966,31634,36152,32591,29635,38113,33938,33606,35070,25386,13931,26362,67408,27618,27184
miR-30d-3p,92,124,153,169,53,85,47,140,137,63,108,113,284,54,67,143,116,58,103,129,1968,156,112,115,74,155,35,62,110,114,52
miR-30d-5p,19303,26209,24919,38624,11507,26773,11077,34959,30610,12112,16183,15993,55737,12875,13083,15902,16628,10571,19706,18878,186846,16755,19097,18578,17998,28339,8705,17119,38492,25853,14918
miR-30e-3p,1920,4061,3796,5058,1994,4194,1673,2257,2509,2098,1283,2699,2429,2782,1946,3641,1991,2855,2952,2724,2645,3945,2558,2820,2902,2294,1292,1895,4341,2424,2041
miR-30e-5p,7868,17732,18065,20477,11124,18817,7438,9919,11144,10655,6845,9867,8681,12309,8354,16752,9081,11757,12070,11219,12322,19628,11271,11089,15235,10766,5408,8828,17992,11102,9444
miR-3115,5,7,10,46,4,3,4,6,24,2,9,4,11,5,3,6,9,6,2,6,10,6,5,10,6,12,4,9,9,4,10
miR-3116,4,3,4,16,5,1,13,7,3,4,13,0,0,6,0,20,5,0,1,0,3,9,2,1,0,11,6,20,14,12,4
miR-3117-5p,12,2,1,9,0,7,3,5,1,2,1,8,12,10,0,1,6,12,4,3,8,0,0,5,2,20,0,6,7,0,6
miR-3118,0,0,2,6,2,0,2,0,1,0,0,0,1,0,0,25,0,0,3,0,14,21,0,0,0,16,2,0,1,2,1
miR-3119,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,3,0,0,1,0,0,1
miR-3121-5p,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
miR-3122,1,9,7,42,29,1,16,9,9,5,9,0,0,26,1,2,0,0,0,1,3,4,14,0,3,6,24,38,3,15,10
miR-3123,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
miR-3124-3p,2,10,10,23,20,32,6,6,8,4,22,3,13,4,10,4,13,12,6,10,8,13,12,7,9,7,5,6,15,5,3
miR-3124-5p,1,5,10,18,8,11,8,7,3,0,8,4,3,4,3,5,6,5,3,4,3,8,4,6,10,2,5,9,26,12,8
miR-3125,4,13,17,61,53,11,34,15,28,13,29,0,5,35,2,8,6,8,7,6,7,16,5,4,5,5,60,86,43,39,16
miR-3126-3p,3,14,7,13,13,12,8,5,6,13,11,2,7,11,5,11,15,5,1,8,20,14,14,6,6,6,7,13,25,10,3
miR-3126-5p,3,16,22,56,96,3,40,9,36,7,28,5,3,41,2,4,4,7,3,10,6,11,9,8,5,12,64,36,26,34,33
miR-3127-3p,3,7,6,24,12,9,14,8,10,6,16,2,13,9,0,79,4,3,11,6,56,48,6,4,8,53,25,36,46,47,14
miR-3127-5p,2,4,2,12,22,6,13,7,12,6,15,0,2,15,1,5,2,4,3,1,2,5,2,0,6,4,20,24,6,24,7
miR-3128,1,0,2,11,2,0,2,3,4,2,8,1,1,3,0,1,1,1,0,2,3,3,0,0,1,3,3,3,3,2,1
miR-3129-3p,1,2,3,7,3,2,0,0,4,4,0,0,0,2,1,1,1,0,0,1,0,5,0,2,1,3,6,4,2,4,3
miR-3130-3p,1,23,31,74,54,15,25,29,23,11,36,2,3,21,5,19,7,11,15,12,25,30,6,4,12,26,49,45,50,44,21
miR-3131,3,18,28,109,182,31,95,28,67,39,86,6,10,69,5,3,3,17,15,7,15,30,7,9,8,19,149,198,63,101,67
miR-3132,4,18,18,94,94,19,75,14,47,20,79,2,14,46,5,14,6,15,9,16,14,28,8,3,17,10,114,129,75,80,40
miR-3133,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
miR-3134,0,0,3,3,0,0,1,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,3,2,1,3,1,0
miR-3135a,4,120,346,720,453,117,270,148,184,98,288,12,22,248,9,1312,25,51,204,25,784,1285,112,18,64,812,511,450,402,482,217
miR-3136-5p,0,5,2,18,12,2,8,12,5,12,0,0,2,2,0,6,2,1,2,1,1,9,1,2,2,6,19,14,13,6,6
miR-3137,2,0,11,39,38,4,11,10,7,4,9,1,1,11,0,8,2,5,3,2,5,10,3,4,4,9,26,21,6,23,12
miR-3138,2,19,17,86,102,19,71,14,27,18,46,3,3,56,3,8,2,5,7,7,14,15,5,5,8,14,102,102,49,56,49
miR-3140-3p,4,13,29,55,32,30,24,13,15,16,47,8,28,14,9,16,32,9,8,16,14,45,32,9,17,15,31,18,56,33,14
miR-3140-5p,12,18,22,39,50,41,23,17,33,17,63,10,26,11,4,18,36,28,10,31,29,30,39,16,35,16,13,14,56,23,13
miR-3141,249,1153,1955,3575,4945,1959,3154,1149,2223,2096,2445,333,738,2436,321,623,844,1075,887,860,844,2289,729,505,842,1657,5164,4084,2366,2941,2237
miR-3142,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
miR-3143,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0
miR-3144-3p,0,3,3,4,2,0,2,1,3,3,0,0,2,0,0,0,1,2,0,2,1,4,1,4,5,2,1,0,0,1,0
miR-3144-5p,0,1,0,1,3,2,0,0,5,0,2,0,1,0,0,1,1,1,2,1,3,2,0,1,3,0,0,1,2,3,0
miR-3145-3p,0,1,1,9,1,1,0,0,1,2,4,2,2,1,0,6,2,0,1,2,5,3,2,1,3,1,1,1,3,5,1
miR-3145-5p,4,1,6,16,1,7,6,3,5,13,4,0,3,3,0,9,7,3,2,7,7,7,3,0,6,4,0,0,8,6,2
miR-3146,1,1,2,12,2,1,7,5,3,6,3,1,3,4,1,0,7,0,2,0,0,7,4,0,4,0,6,4,2,5,2
miR-3147,13,59,77,212,351,79,179,76,108,60,168,11,40,118,7,71,28,38,36,39,77,138,26,22,37,58,285,336,150,175,121
miR-3148,0,0,1,3,1,0,0,0,0,2,0,1,0,0,0,5,1,0,0,0,0,4,0,1,3,2,3,3,3,1,1
miR-3149,0,0,0,3,1,0,2,1,1,0,0,2,5,1,4,0,0,1,0,0,0,0,0,1,0,0,1,3,5,0,1
miR-3150b-5p,3,3,10,21,10,9,9,5,15,4,13,1,3,7,3,9,11,12,7,9,9,12,8,11,5,12,7,7,10,15,5
miR-3152-3p,3,5,8,12,6,15,6,5,8,5,16,6,7,2,3,7,4,4,7,8,21,14,16,2,6,5,1,7,7,5,5
miR-3152-5p,3,5,7,6,10,24,9,5,3,3,13,4,1,5,1,56,9,6,6,2,18,13,38,3,6,7,4,4,16,5,7
miR-3153,1,19,10,56,68,18,52,21,34,10,34,2,10,34,3,2,7,9,9,6,5,28,10,4,6,17,53,65,47,46,26
miR-3154,14,102,132,455,397,143,379,145,284,119,274,16,45,277,16,39,32,84,75,37,56,105,53,29,48,66,509,553,241,354,208
miR-3155a,3,6,9,29,33,6,15,6,9,0,16,2,5,16,4,11,4,1,4,3,9,8,5,1,5,6,18,26,5,15,19
miR-3155b,5,11,19,45,39,31,22,10,18,18,42,8,8,18,4,36,17,8,16,14,32,40,18,8,20,27,31,29,33,20,21
miR-3156-5p,2,2,13,48,73,4,46,8,27,10,25,1,3,26,0,8,1,8,8,2,3,17,7,1,11,4,52,64,29,34,25
miR-3157-3p,4,6,15,29,21,22,7,13,14,9,11,4,9,14,5,17,10,12,6,18,10,7,7,11,6,8,18,20,18,22,3
miR-3157-5p,12,20,52,69,36,59,28,23,43,37,27,33,24,37,36,38,42,41,33,62,19,43,36,24,18,17,38,29,49,35,24
miR-3158-5p,12,44,52,183,190,36,93,30,93,46,98,10,21,76,12,27,14,27,32,27,44,61,19,9,45,24,128,181,74,99,58
miR-3159,0,5,5,10,6,4,5,0,2,1,6,1,1,8,0,10,1,0,4,1,2,8,2,2,2,4,13,6,7,3,4
miR-31-5p,36,28,64,788,16,12,51,362,127,41,21,37,18,174,32,12,42,42,116,4,7,16,10,23,19,37,35,106,475,102,185
miR-3161,2,2,8,6,2,1,1,2,4,2,2,1,2,3,0,0,0,2,1,2,1,0,0,4,2,2,4,1,11,5,1
miR-3162-5p,36,111,241,556,330,280,214,72,144,114,276,24,141,101,15,125,38,121,76,133,164,276,54,15,98,350,221,205,275,184,82
miR-3163,2,0,1,4,2,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
miR-3164,3,3,4,11,13,4,12,6,0,8,10,1,3,6,1,3,0,7,2,4,3,4,1,4,1,3,23,14,11,14,4
miR-3165,1,10,12,10,11,3,13,5,11,9,5,0,1,12,2,9,0,0,6,3,5,3,4,1,0,3,14,12,4,13,6
miR-3166,3,0,7,6,2,3,1,2,1,0,0,1,3,0,0,3,2,1,3,0,5,0,1,1,5,7,1,1,2,2,1
miR-3167,0,1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,3
miR-3169,2,2,3,15,0,13,5,3,0,2,5,1,0,0,0,0,2,4,1,1,4,3,5,2,8,4,2,4,2,1,0
miR-3170,2,1,5,10,7,6,5,5,4,4,2,0,4,7,2,3,2,7,1,0,3,7,1,1,2,1,10,4,3,5,4
miR-3171,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0
miR-3174,0,3,4,9,6,1,2,1,3,3,2,1,1,2,0,4,1,0,0,3,5,2,0,4,3,2,3,6,3,3,2
miR-3175,6,76,84,112,175,154,124,40,68,102,133,17,46,86,8,23,49,33,20,43,46,70,34,18,46,102,198,188,78,88,73
miR-3176,1,2,15,36,75,23,16,20,21,14,27,1,15,19,8,17,11,4,8,3,10,14,16,4,7,5,41,39,15,23,13
miR-3177-3p,17,14,29,101,158,36,51,29,41,9,55,6,9,42,12,8,25,10,18,14,19,26,5,10,19,20,52,79,80,53,36
miR-3177-5p,1,2,8,18,3,3,4,4,6,6,13,0,1,7,3,3,5,0,1,2,8,7,1,1,7,0,7,3,9,3,4
miR-3179,1,3,19,53,6,1,6,10,23,2,43,1,25,11,1,18,7,7,5,3,12,14,9,3,4,15,10,5,5,7,6
miR-3180,14,30,31,52,84,28,20,53,23,35,38,2,19,22,2,53,29,11,11,53,74,60,104,11,13,64,30,39,112,22,12
miR-3180-3p,13,80,187,160,408,155,96,159,85,93,159,18,41,98,11,138,131,33,36,146,179,243,291,33,77,195,142,133,238,105,77
miR-3182,7,6,10,17,14,4,3,1,6,7,25,15,1,3,2,12,4,1,7,14,9,7,0,5,4,5,9,8,117,8,9
miR-3184-3p,2,1,1,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,4,12,2,0,2,3,0,0,6,2,1
miR-3185,5,12,36,67,82,28,35,21,29,12,22,9,17,39,5,9,18,10,14,10,17,22,6,2,18,13,59,75,41,52,41
miR-3186-3p,0,1,2,9,1,3,0,1,1,1,5,0,0,2,0,8,1,1,0,0,0,5,0,0,0,1,3,2,3,5,2
miR-3186-5p,1,1,3,8,1,5,2,0,1,1,2,0,3,1,2,10,6,2,1,2,8,5,1,3,1,6,2,1,4,2,1
miR-3187-3p,0,8,9,30,14,8,7,5,8,12,12,2,3,12,2,7,8,10,10,7,7,7,5,3,7,11,17,14,14,13,4
miR-3187-5p,7,4,23,97,60,14,66,16,23,16,34,2,5,37,3,96,6,20,14,1,52,80,7,7,14,51,63,101,53,59,43
miR-3188,1,2,4,40,9,4,1,3,2,2,8,1,7,3,0,4,2,0,2,5,7,5,3,0,2,7,7,13,9,6,4
miR-3189-3p,1,4,0,15,8,0,3,9,5,5,8,0,2,8,1,4,1,2,0,2,3,4,2,0,5,4,4,28,6,8,3
miR-3189-5p,2,9,2,4,5,6,1,3,7,3,5,2,4,1,1,8,3,1,3,4,7,6,3,1,5,8,5,3,9,6,0
miR-3191-3p,2,4,10,35,33,11,32,7,12,1,11,1,7,21,1,4,3,4,2,1,2,8,0,1,1,4,40,32,18,26,13
miR-3191-5p,2,1,2,1,5,2,1,3,2,2,6,2,2,1,1,12,1,6,2,4,7,5,1,1,0,7,3,5,5,2,0
miR-3192-3p,5,2,7,10,4,5,2,2,3,5,11,0,10,0,1,8,3,7,4,9,6,9,11,2,5,8,5,7,16,7,4
miR-3192-5p,0,2,0,17,9,4,7,3,6,5,8,0,2,6,0,4,3,2,4,0,3,7,3,4,1,4,8,11,12,16,2
miR-3193,1,2,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,1,3,0,0
miR-3197,178,1493,4476,5206,11879,4035,3492,2128,1792,5529,26191,338,1050,5633,1815,1610,6039,2703,1193,2564,1173,3415,3659,1405,1600,17137,8702,11444,13790,6216,7798
miR-3198,3,28,34,174,191,37,117,148,83,31,79,9,16,126,5,27,25,18,30,19,36,52,17,7,13,38,206,222,71,132,70
miR-3199,0,1,0,7,4,1,8,0,3,2,0,0,0,2,0,5,1,0,0,1,2,3,0,0,0,0,14,10,6,2,4
miR-3200-5p,34,4,11,73,9,17,30,22,44,9,27,37,54,34,25,80,30,34,25,9,18,23,114,26,7,13,21,29,110,59,61
miR-3201,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0
miR-3202,1,3,6,26,25,6,10,6,6,8,5,0,0,22,0,0,2,2,1,0,4,11,3,2,2,1,27,30,12,13,4
miR-320a,3349,8112,9165,10787,6810,14067,3917,3557,7140,6923,10775,2661,2957,2439,3974,4462,6056,2801,2430,4697,2224,4753,11625,4880,4256,3950,3667,11976,13894,6285,7698
miR-320b,2743,6423,7203,8408,5478,11100,3194,3027,5595,5923,8999,2437,2730,1957,3126,3445,4587,2403,1996,3809,1769,3930,9384,3902,3234,3247,2907,9946,10946,5049,6184
miR-320c,2057,5508,5858,6888,4154,8661,2406,2263,4210,4577,7274,1811,2128,1539,2473,2753,3616,1917,1518,2950,1475,3066,7383,3161,2552,2671,2204,7564,8714,3921,4916
miR-320d,1431,3428,3956,4328,2691,5909,1643,1553,2854,2848,4881,1243,1429,1092,1671,1927,2440,1200,979,2045,955,2159,4869,2026,1707,1926,1448,5096,5749,2667,3160
miR-320e,830,1899,2314,2774,1464,3218,829,762,1471,1612,2890,763,825,585,844,1005,1256,592,541,1289,535,1134,2630,1109,878,1094,777,2764,2942,1256,1555
miR-323a-3p,3322,225,103,6,276,106,406,5,129,287,27,925,26,668,1776,6,375,877,1668,609,1415,471,214,1770,339,158,232,1502,1760,177,1470
miR-323a-5p,72,6,6,13,5,3,17,0,4,12,3,17,1,13,42,8,11,17,32,16,33,18,1,52,16,10,17,33,79,7,51
miR-323b-3p,635,65,13,3,45,29,36,6,32,61,15,159,1,166,333,6,56,72,305,135,189,40,40,232,60,32,51,401,489,23,355
miR-323b-5p,4,2,1,7,2,1,1,0,1,1,1,0,0,3,4,8,1,1,4,0,3,3,0,1,2,3,3,12,5,2,2
miR-32-3p,5,9,6,17,2,5,0,2,5,6,9,8,6,1,3,3,1,5,2,15,13,3,2,3,9,1,2,4,1,2,2
miR-324-3p,774,1164,1454,5810,1785,4136,988,4197,3502,1350,1253,847,2501,1040,1669,2034,1153,1113,1009,2029,1035,1210,4162,1192,907,1109,1462,3006,3051,3069,3434
miR-324-5p,1045,1145,1226,12322,1686,3152,913,5877,5128,1217,1297,950,3645,1051,1856,2513,837,1168,1121,1640,1775,918,4219,1577,633,1537,1098,4613,3253,2960,4688
miR-325,1,0,0,4,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,2,3,1
miR-32-5p,703,1565,2012,2336,877,863,511,1428,1744,801,1085,1326,1262,790,531,1150,556,901,1059,2086,2267,1747,738,836,1259,802,584,1119,1262,774,904
miR-326,873,313,650,1498,104,488,737,1205,4144,486,1433,596,266,903,386,149,1854,1306,684,365,707,748,190,898,533,474,452,987,1586,1662,1048
miR-328-3p,964,1194,882,1439,1871,1172,1056,1527,1239,1408,550,1481,1223,966,1750,1505,674,2028,1748,1468,765,928,4712,2744,964,1692,618,1008,6782,986,1284
miR-329-3p,2298,251,101,14,307,137,322,9,135,315,41,546,22,443,1039,5,215,467,1111,574,788,414,75,1106,397,157,148,1151,2026,134,802
miR-329-5p,18,4,1,5,5,5,9,0,1,17,7,8,0,6,8,10,8,5,5,5,15,14,11,2,11,1,3,20,27,6,17
miR-330-3p,36,72,135,153,63,102,36,46,69,81,112,13,67,28,14,58,56,49,48,97,79,149,284,141,82,80,28,57,1686,45,50
miR-330-5p,18,50,126,87,41,88,12,47,79,69,73,15,124,21,10,35,35,46,42,77,68,71,201,75,89,100,10,48,1358,34,22
miR-331-3p,6837,2658,5612,19028,2251,6301,6447,12046,11917,2671,4096,7607,6700,7922,6806,3480,10273,12264,9234,5202,5308,5684,7315,9613,3548,6433,3964,7995,8065,13857,11482
miR-331-5p,113,132,257,314,105,197,186,301,195,126,177,133,157,254,129,132,234,261,219,216,106,250,168,205,130,230,117,276,223,400,240
miR-335-3p,6,11,32,9,3,22,4,4,7,8,9,8,7,5,2,4,8,4,15,32,14,24,13,1,11,7,1,7,4,5,6
miR-335-5p,10425,2635,18933,13979,2071,3020,1814,7892,5429,2061,394,8760,16108,10767,2632,10967,8466,4954,7537,10768,8270,17301,14747,12531,2422,3404,4043,2048,4107,5023,6695
miR-337-3p,142,68,18,9,87,57,27,1,32,133,16,45,6,61,77,5,27,28,53,78,128,96,19,47,96,26,14,70,59,21,44
miR-337-5p,1047,534,93,77,663,386,221,24,223,1141,157,367,54,610,831,32,197,289,537,455,966,879,142,717,854,201,203,718,605,108,358
miR-338-3p,12625,1145,9382,70404,3558,1178,6579,42865,866,1021,2697,12733,12918,24359,12057,31150,15254,4357,7806,1722,8054,5455,27181,14419,929,10272,5519,13792,129341,14204,15549
miR-339-3p,86,181,218,379,71,110,103,503,73,47,65,62,175,214,128,122,178,87,120,80,72,209,101,98,108,123,113,189,155,184,224
miR-339-5p,221,1174,1626,2642,910,1416,516,1789,578,845,1067,370,1008,950,544,1120,1526,315,345,419,1086,1559,720,493,870,629,423,719,1806,1087,551
miR-33a-3p,114,568,615,434,356,368,201,282,343,300,332,109,267,236,124,500,385,276,210,645,481,698,360,165,501,302,118,120,332,266,111
miR-33a-5p,1347,6085,8731,3536,2925,5427,2233,3015,2990,3564,4772,979,3673,2760,1858,6405,3925,3152,2161,6453,4269,7785,3855,1596,5870,4803,1278,1276,6243,2289,1479
miR-33b-3p,1,6,18,34,15,12,6,14,24,15,30,3,6,3,1,52,3,5,17,7,35,51,16,5,4,29,21,14,31,16,8
miR-33b-5p,40,101,159,187,248,173,72,193,168,100,221,32,199,84,30,131,115,41,46,85,118,241,131,34,128,88,67,127,1188,89,118
miR-340-3p,682,769,815,562,73,525,242,315,591,245,144,538,301,348,480,187,460,645,482,1015,293,735,154,534,534,362,180,393,493,344,332
miR-340-5p,5889,4979,5771,4809,486,3906,2352,2665,4182,1633,1157,4807,2163,3140,3635,1073,3491,4724,3770,8154,2047,4855,865,3505,3601,3015,1925,4205,3342,2839,2971
miR-342-3p,13745,7493,15076,75329,1653,18073,11125,33059,21113,6169,11326,14977,27084,14561,15242,6248,19771,16538,16360,9221,12505,11939,5861,14990,6607,11812,7658,17636,19110,20163,15586
miR-342-5p,262,152,270,2736,66,560,249,952,615,203,399,310,648,402,299,101,531,318,239,229,252,207,158,294,122,302,243,398,418,593,378
miR-345-3p,1,5,12,38,18,10,12,8,11,13,14,4,4,12,4,23,6,8,9,3,17,18,7,9,6,23,22,15,17,23,8
miR-345-5p,3397,2223,5932,13234,1340,14095,3524,5374,4810,2765,4732,2922,2758,3597,4484,2873,4624,3175,3754,3792,3500,4845,2470,4114,1892,4204,2075,4668,4958,6077,3824
miR-346,21,29,135,23,9,22,22,10,27,12,16,17,4,9,13,18,21,7,29,37,48,210,9,54,82,17,12,23,855,51,8
miR-34a-3p,80,82,32,288,168,184,65,33,606,218,138,126,56,109,143,541,119,191,142,45,153,22,179,178,63,94,65,221,663,87,67
miR-34a-5p,1415,1964,664,5906,4375,3402,1497,969,13376,5328,2380,1708,1415,1781,2460,8417,2627,3299,2473,858,1948,712,3059,3241,1378,1426,1272,3452,18858,2130,1466
miR-34b-3p,62,109,113,369,204,248,62,72,302,88,221,97,129,62,40,83,125,93,72,239,164,168,117,66,106,94,65,61,267,79,51
miR-34b-5p,57,51,23,533,69,45,30,16,928,27,25,54,47,41,39,80,32,26,51,12,79,14,33,43,28,15,26,45,239,67,49
miR-34c-3p,8,14,16,159,13,13,21,10,310,11,1,20,36,12,17,35,11,1,15,6,38,17,7,17,16,7,13,39,84,34,31
miR-34c-5p,153,125,54,2042,154,135,145,70,3645,73,58,152,205,137,157,325,156,81,161,54,307,47,103,226,124,69,124,240,853,279,279
miR-3605-3p,54,111,61,265,26,53,45,99,115,20,59,63,85,66,44,63,23,41,74,60,55,47,63,52,36,58,41,69,54,69,75
miR-3605-5p,12,11,11,49,27,14,34,14,28,10,27,5,4,29,5,6,4,10,7,6,17,7,13,5,6,14,47,53,42,47,11
miR-3606-3p,1,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
miR-3606-5p,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
miR-3607-3p,927,4200,3197,1905,871,1446,1060,1921,1317,587,1615,1793,2475,1694,633,1454,1163,2683,1786,2236,1740,2563,1803,1245,1602,1847,1351,1228,762,1337,820
miR-3607-5p,17025,70568,54323,30382,17902,28442,24231,43997,30911,14412,28908,24340,46762,39044,16972,37367,30229,65754,37920,27841,33440,56494,45486,30648,36483,41137,23645,28157,18571,31596,22724
miR-3609,4437,18034,20601,35350,11804,15131,15387,16519,11298,8821,9126,8170,11923,22750,6111,5197,18654,11565,9617,14935,4448,17061,17637,12553,9319,5642,24844,27874,12292,38575,36276
miR-3611,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,1,0,0,2,1,0,0,0,0,0,0
